0.12 1
0.61 2
1.10 3
1.59 4
2.07 1
2.56 2
3.05 3
3.54 4
4.02 1
4.51 2
5.00 3
5.49 4
5.97 1
6.46 2
6.95 3
7.44 4
7.93 1
8.42 2
8.90 3
9.39 4
9.88 1
10.37 2
10.85 3
11.34 4
11.83 1
12.32 2
12.81 3
13.29 4
13.78 1
14.27 2
14.76 3
15.24 4
15.73 1
16.22 2
16.71 3
17.20 4
17.68 1
18.17 2
18.66 3
19.15 4
19.63 1
20.12 2
20.61 3
21.10 4
21.58 1
22.08 2
22.56 3
23.05 4
23.54 1
24.03 2
24.51 3
25.00 4
25.49 1
25.98 2
26.46 3
26.95 4
27.44 1
27.93 2
28.42 3
28.90 4
29.39 1
29.88 2
30.37 3
30.85 4
31.34 1
31.83 2
32.32 3
32.81 4
33.29 1
33.78 2
34.27 3
34.76 4
35.24 1
35.73 2
36.22 3
36.71 4
37.20 1
37.68 2
38.17 3
38.66 4
39.15 1
39.64 2
40.12 3
40.61 4
41.10 1
41.59 2
42.07 3
42.56 4
43.05 1
43.54 2
44.02 3
44.51 4
45.00 1
45.49 2
45.97 3
46.47 4
46.95 1
47.44 2
47.93 3
48.42 4
48.90 1
49.39 2
49.88 3
50.37 4
50.85 1
51.34 2
51.83 3
52.32 4
52.80 1
53.30 2
53.78 3
54.27 4
54.76 1
55.25 2
55.73 3
56.22 4
56.71 1
57.20 2
57.68 3
58.17 4
58.66 1
59.15 2
59.63 3
60.12 4
60.61 1
61.10 2
61.59 3
62.08 4
62.56 1
63.05 2
63.54 3
64.03 4
64.51 1
65.00 2
65.49 3
65.98 4
66.46 1
66.95 2
67.44 3
67.93 4
68.42 1
68.90 2
69.39 3
69.88 4
70.37 1
70.86 2
71.34 3
71.83 4
72.32 1
72.81 2
73.29 3
73.78 4
74.27 1
74.76 2
75.25 3
75.73 4
76.22 1
76.71 2
77.19 3
77.69 4
78.17 1
78.66 2
79.15 3
79.64 4
80.12 1
80.61 2
81.10 3
81.59 4
82.08 1
82.56 2
83.05 3
83.54 4
84.03 1
84.51 2
85.00 3
85.49 4
85.97 1
86.46 2
86.95 3
87.44 4
87.93 1
88.42 2
88.90 3
89.39 4
89.88 1
90.36 2
90.85 3
91.34 4
91.83 1
92.31 2
92.80 3
93.29 4
93.78 1
94.27 2
94.76 3
95.24 4
95.73 1
96.22 2
96.71 3
97.20 4
97.68 1
98.17 2
98.66 3
99.15 4
99.63 1
100.12 2
100.61 3
101.10 4
101.58 1
102.07 2
102.56 3
103.05 4
103.54 1
104.02 2
104.51 3
105.00 4
105.49 1
105.98 2
106.46 3
106.95 4
107.44 1
107.93 2
108.41 3
108.90 4
109.39 1
109.88 2
110.37 3
110.86 4
111.34 1
111.83 2
112.32 3
112.81 4
113.29 1
113.78 2
114.27 3
114.76 4
115.25 1
115.73 2
116.22 3
116.71 4
117.19 1
117.69 2
118.17 3
118.66 4
119.15 1
119.64 2
120.12 3
120.61 4
121.10 1
121.59 2
122.08 3
122.56 4
123.05 1
123.54 2
124.03 3
124.51 4
125.00 1
125.49 2
125.98 3
126.47 4
126.95 1
127.44 2
127.93 3
128.42 4
128.91 1
129.39 2
129.88 3
130.37 4
130.86 1
131.34 2
131.83 3
132.32 4
132.81 1
133.29 2
133.78 3
134.27 4
134.76 1
135.25 2
135.73 3
136.22 4
136.71 1
137.20 2
137.68 3
138.17 4
138.66 1
139.15 2
139.63 3
140.12 4
140.61 1
141.10 2
141.59 3
142.08 4
142.56 1
143.05 2
143.54 3
144.03 4
144.52 1
145.00 2
145.49 3
145.98 4
146.47 1
146.95 2
